model,cat1,cat2,seed,lr,epoch,dev_acc,test_acc
smolm-mlm-bpe-unmask-seed_444,n,v,5,0.001,39,0.9,0.82
smolm-mlm-bpe-unmask-seed_444,n,adj,3,0.001,61,0.72,0.72
smolm-mlm-bpe-unmask-seed_444,adj,v,4,0.01,9,0.85,0.76
smolm-mlm-bpe-unmask-seed_444,adv,v,4,0.01,10,0.7608695652173914,0.5934065934065934
smolm-mlm-bpe-unmask-seed_444,n,adj,1,0.01,0,0.67,0.73
smolm-mlm-bpe-unmask-seed_444,n,adj,2,0.001,62,0.68,0.69
smolm-mlm-bpe-unmask-seed_444,n,v,4,0.001,27,0.89,0.83
smolm-mlm-bpe-unmask-seed_444,adj,adv,1,0.01,0,0.6413043478260869,0.4945054945054945
smolm-mlm-bpe-unmask-seed_444,adv,v,5,0.01,9,0.7717391304347826,0.6263736263736264
smolm-mlm-bpe-unmask-seed_444,n,adv,2,0.001,64,0.8152173913043478,0.7802197802197802
smolm-mlm-bpe-unmask-seed_444,n,adv,5,0.01,12,0.8586956521739131,0.7362637362637363
smolm-mlm-bpe-unmask-seed_444,adj,v,2,0.01,1,0.78,0.8
smolm-mlm-bpe-unmask-seed_444,adj,v,3,0.001,3,0.86,0.88
smolm-mlm-bpe-unmask-seed_444,n,adv,1,0.01,40,0.8695652173913043,0.7362637362637363
smolm-mlm-bpe-unmask-seed_999,adj,adv,5,0.01,9,0.6086956521739131,0.46153846153846156
smolm-mlm-bpe-unmask-seed_999,n,adv,3,0.01,6,0.7717391304347826,0.6813186813186813
smolm-mlm-bpe-unmask-seed_999,adj,adv,2,0.001,33,0.5869565217391305,0.5054945054945055
smolm-mlm-bpe-unmask-seed_999,adj,adv,4,0.001,0,0.5978260869565217,0.5494505494505495
smolm-mlm-bpe-unmask-seed_999,adj,v,5,0.01,13,0.8,0.9
smolm-mlm-bpe-unmask-seed_999,n,v,1,0.01,13,0.84,0.8
smolm-mlm-bpe-unmask-seed_999,adj,adv,3,0.001,31,0.5869565217391305,0.4725274725274725
smolm-mlm-bpe-unmask-seed_999,adv,v,2,0.01,11,0.7717391304347826,0.8241758241758241
smolm-mlm-bpe-unmask-seed_999,n,adj,4,0.01,30,0.64,0.59
smolm-mlm-bpe-unmask-seed_999,adv,v,3,0.001,61,0.7608695652173914,0.7472527472527473
smolm-mlm-bpe-unmask-seed_999,n,v,3,0.001,10,0.81,0.84
smolm-mlm-bpe-unmask-seed_999,n,adj,5,0.01,12,0.61,0.64
smolm-mlm-bpe-unmask-seed_999,n,adv,4,0.01,7,0.7608695652173914,0.7142857142857143
smolm-mlm-bpe-unmask-seed_999,adv,v,1,0.01,9,0.7717391304347826,0.8241758241758241
smolm-mlm-bpe-unmask-seed_999,adj,v,1,0.01,9,0.79,0.87
smolm-mlm-bpe-unmask-seed_999,n,v,2,0.001,42,0.81,0.82
smolm-mlm-bpe-unmask-seed_999,n,v,5,0.01,7,0.84,0.83
smolm-mlm-bpe-unmask-seed_999,n,adj,3,0.01,0,0.65,0.69
smolm-mlm-bpe-unmask-seed_999,adj,v,4,0.01,16,0.79,0.86
smolm-mlm-bpe-unmask-seed_999,adv,v,4,0.01,2,0.7608695652173914,0.7802197802197802
smolm-mlm-bpe-unmask-seed_999,n,adj,1,0.001,0,0.6,0.61
smolm-mlm-bpe-unmask-seed_999,n,adj,2,0.01,3,0.64,0.68
smolm-mlm-bpe-unmask-seed_999,n,v,4,0.001,9,0.82,0.86
smolm-mlm-bpe-unmask-seed_999,adj,adv,1,0.001,1,0.5652173913043478,0.5054945054945055
smolm-mlm-bpe-unmask-seed_999,adv,v,5,0.001,67,0.7717391304347826,0.7912087912087912
smolm-mlm-bpe-unmask-seed_999,n,adv,2,0.01,3,0.75,0.7582417582417582
smolm-mlm-bpe-unmask-seed_999,n,adv,5,0.01,12,0.7608695652173914,0.7472527472527473
smolm-mlm-bpe-unmask-seed_999,adj,v,2,0.01,9,0.79,0.87
smolm-mlm-bpe-unmask-seed_999,adj,v,3,0.01,4,0.76,0.87
